date,SPY,XLK,XLV,XLF,XLY,XLP,XLE,XLI,XLB,XLU,XLRE,XLC
2011-03-01,101.5923,10.6878,25.7161,10.1066,16.3067,20.0,24.136,28.4715,14.6845,9.5906,,
2011-04-01,104.5345,10.9656,27.3704,10.1004,16.9331,21.0696,24.3566,29.2539,14.9964,9.9788,,
2011-05-02,103.3622,10.8508,28.0461,9.7674,16.8871,21.5976,23.337,28.4451,14.5854,10.1925,,
2011-06-01,101.6182,10.5814,27.7309,9.4992,16.8504,21.0221,22.8883,28.2899,14.5269,10.1778,,
2011-07-01,99.5854,10.6266,26.6304,9.1588,16.6157,20.7529,23.2225,26.3451,14.0251,10.0836,,
2011-08-01,94.1106,10.0626,26.0684,8.2801,15.744,20.7932,20.8501,24.6131,13.0399,10.3025,,
2011-09-01,87.5774,9.7537,24.8985,7.3369,14.6585,20.108,17.8429,22.3216,10.8893,10.3247,,
2011-10-03,97.1362,10.7497,26.3345,8.3868,16.4077,21.0435,21.2584,25.5301,12.7793,10.7025,,
2011-11-01,96.7414,10.5886,26.5856,7.9582,16.29,21.6266,21.6121,25.8891,12.8052,10.813,,
2011-12-01,97.7523,10.5643,27.3739,8.1279,16.503,22.2257,21.1709,25.9549,12.5134,11.1733,,
2012-01-03,102.2856,11.2202,28.2498,8.7907,17.4757,21.911,21.6486,27.8544,13.888,10.7696,,
2012-02-01,106.7253,12.0151,28.5496,9.2284,18.2666,22.7319,22.9318,28.6312,13.8096,10.8348,,
2012-03-01,110.1579,12.5596,29.8278,9.9101,19.1289,23.4368,22.058,28.9076,13.8622,10.9836,,
2012-04-02,109.4225,12.4181,29.7485,9.678,19.3495,23.5056,21.9012,28.5947,13.7498,11.1763,,
2012-05-01,102.8511,11.631,28.6699,8.7874,18.2847,23.2305,19.5617,26.7867,12.6811,11.239,,
2012-06-01,107.0251,12.0085,30.3035,9.2267,18.6388,24.076,20.5026,27.6898,13.3041,11.7011,,
2012-07-02,108.2911,12.2322,30.6105,9.2393,18.5366,24.6715,21.5158,27.7985,13.1345,11.9953,,
2012-08-01,111.0041,12.7464,30.9693,9.5544,19.3924,24.5538,22.0966,28.2254,13.4398,11.4986,,
2012-09-04,113.8185,12.9396,32.1489,9.8662,19.9898,24.9851,22.7866,28.5409,13.9461,11.6331,,
2012-10-01,111.7472,12.1192,32.0759,10.0624,19.6829,24.6783,22.3227,28.5092,13.6544,11.7946,,
2012-11-01,112.3797,12.2281,32.2451,9.9738,20.3059,25.1315,22.0496,29.0097,13.9082,11.291,,
2012-12-03,113.3836,12.1803,32.1296,10.4375,20.3971,24.6096,22.2742,29.8285,14.3521,11.2893,,
2013-01-02,119.1877,12.4125,34.5703,11.068,21.5541,25.9988,24.1236,31.5443,14.9179,11.8258,,
2013-02-01,120.7084,12.5096,35.0054,11.2017,21.8981,26.8591,24.2297,32.2447,14.7153,12.1006,,
2013-03-01,125.2917,12.832,37.2274,11.6357,22.8563,28.1823,24.8458,33.0091,15.0408,12.7503,,
2013-04-01,127.6988,13.0567,38.2963,11.9487,23.5506,29.0114,24.52,32.7641,15.1829,13.51,,
2013-05-01,130.7137,13.4213,38.9274,12.6772,24.2018,28.3807,25.2186,34.4082,15.4708,12.2872,,
2013-06-03,128.9695,13.031,38.6973,12.4781,24.4005,28.2949,24.6471,33.8769,14.8329,12.3971,,
2013-07-01,135.6343,13.5189,41.4689,13.1453,25.6854,29.5217,25.944,35.879,15.6588,12.9341,,
2013-08-01,131.5663,13.3783,40.0059,12.4716,24.9543,28.1807,25.6764,34.9892,15.6394,12.2884,,
2013-09-03,135.7298,13.717,41.289,12.8235,26.3075,28.5671,26.2188,37.038,16.3322,12.4291,,
2013-10-01,142.015,14.4063,43.0682,13.2487,27.5138,30.3974,27.3197,38.8059,17.0164,12.8984,,
2013-11-01,146.224,14.8516,45.1004,13.8347,28.464,30.8712,27.3355,40.2266,17.238,12.6489,,
2013-12-02,150.0153,15.3765,45.4337,14.1457,29.1139,31.0841,28.1203,41.9236,18.082,12.7641,,
2014-01-02,144.7275,14.9807,45.8598,13.628,27.367,29.4786,26.4905,40.1347,17.2292,13.144,,
2014-02-03,151.3149,15.6389,48.7117,14.0421,29.1182,30.6285,27.8471,41.7631,18.4185,13.5978,,
2014-03-03,152.5698,15.7062,48.099,14.5099,28.2834,31.3002,28.4343,42.1626,18.5704,14.0535,,
